language,size_bucket,repository,commit,path,old_path
Kotlin,0-10,JetBrains-kotlin,7a1169836f180282ce51df9ede15816e4a5920d9,compiler/testData/codegen/bytecodeListing/specialBridges/signatures/kt43610.kt,compiler/testData/codegen/bytecodeListing/specialBridges/signatures/kt43610.kt
Kotlin,0-10,clangen-musikcube,dc65e83c4697a2e24b9a779c96e683c59f6ac0a6,src/musikdroid/app/src/main/java/io/casey/musikcube/remote/ui/settings/model/ConnectionsDb.kt,src/musikdroid/app/src/main/java/io/casey/musikcube/remote/ui/settings/model/ConnectionsDb.kt
Kotlin,10-30,JetBrains-java-annotations,7bc931ab0d2cb10a5fa65eba869e049b269c1957,multiplatform-annotations/src/commonMain/kotlin/org/intellij/lang/annotations/Identifier.kt,multiplatform-annotations/src/commonMain/kotlin/org/intellij/lang/annotations/Identifier.kt
Kotlin,10-30,JetBrains-kotlin,27ecd666b4451e29711e5f67d892c338fe9f06f8,core/util.runtime/src/org/jetbrains/kotlin/K1Deprecation.kt,core/util.runtime/src/org/jetbrains/kotlin/K1Deprecation.kt
Kotlin,10-30,JetBrains-kotlin,7a1169836f180282ce51df9ede15816e4a5920d9,compiler/testData/codegen/box/controlStructures/forInIterator/abstractNext.kt,compiler/testData/codegen/box/controlStructures/forInIterator/abstractNext.kt
Kotlin,10-30,JetBrains-kotlin,7a1169836f180282ce51df9ede15816e4a5920d9,compiler/testData/codegen/bytecodeListing/jvm8/defaults/disable/bridgeInInterface.kt,compiler/testData/codegen/bytecodeListing/jvm8/defaults/disable/bridgeInInterface.kt
Kotlin,10-30,JetBrains-kotlin,7a1169836f180282ce51df9ede15816e4a5920d9,compiler/testData/codegen/bytecodeListing/jvm8/defaults/disable/bridgeInInterfaceWithProperties.kt,compiler/testData/codegen/bytecodeListing/jvm8/defaults/disable/bridgeInInterfaceWithProperties.kt
Kotlin,10-30,JetBrains-kotlin,7a1169836f180282ce51df9ede15816e4a5920d9,compiler/testData/codegen/bytecodeListing/jvm8/defaults/disable/generatedBridgeGenericSpecializedOverrideInline.kt,compiler/testData/codegen/bytecodeListing/jvm8/defaults/disable/generatedBridgeGenericSpecializedOverrideInline.kt
Kotlin,10-30,JetBrains-kotlin,f5f13c54ea4e0b3bba61ebb397cc952d7720a713,js/js.tests/testFixtures/org/jetbrains/kotlin/js/engine/ScriptEngineV8.kt,js/js.tests/testFixtures/org/jetbrains/kotlin/js/engine/ScriptEngineV8.kt
Kotlin,10-30,JetBrains-kotlin,f5f13c54ea4e0b3bba61ebb397cc952d7720a713,js/js.tests/tests/org/jetbrains/kotlin/js/testOld/klib/JsWasmStdlibSpecialCompatibilityChecksTest.kt,js/js.tests/tests/org/jetbrains/kotlin/js/testOld/klib/JsWasmStdlibSpecialCompatibilityChecksTest.kt
Kotlin,10-30,JetBrains-kotlin,f5f13c54ea4e0b3bba61ebb397cc952d7720a713,js/js.tests/tests/org/jetbrains/kotlin/js/testOld/klib/JsWasmTestLibSpecialCompatibilityChecksTest.kt,js/js.tests/tests/org/jetbrains/kotlin/js/testOld/klib/JsWasmTestLibSpecialCompatibilityChecksTest.kt
Kotlin,10-30,clangen-musikcube,dc65e83c4697a2e24b9a779c96e683c59f6ac0a6,src/musikdroid/app/src/main/java/io/casey/musikcube/remote/service/gapless/db/GaplessDb.kt,src/musikdroid/app/src/main/java/io/casey/musikcube/remote/service/gapless/db/GaplessDb.kt
